Ticker,Description,Last,Change %,Change,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector,Yearly Performance,Country,Current Ratio (MRQ),Debt to Equity Ratio (MRQ),Dividends Paid (FY),Dividends per Share (FY),Dividends Yield (FY),EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),Gap %,Goodwill,Gross Margin (TTM),Gross Profit (FY),Gross Profit (MRQ),Industry,Last Year Revenue (FY),Money Flow (14),Net Debt (MRQ),Net Income (FY),Net Margin (TTM),Operating Margin (TTM),Price to Book (FY),Price to Book (MRQ),Price to Free Cash Flow (TTM),Price to Revenue Ratio (TTM),Price to Sales (FY),Quick Ratio (MRQ),Return on Assets (TTM),Return on Equity (TTM),Return on Invested Capital (TTM),Revenue per Employee (TTM),Shares Float,Total Assets (MRQ),Total Current Assets (MRQ),Total Debt (MRQ),Total Liabilities (FY),Total Liabilities (MRQ),Total Revenue (FY),Total Shares Outstanding (MRQ)
JNJ,Johnson & Johnson,168.57,2.43057665,4,19695484,3320067738,4.43E+11,21.25148789,7.934,141700,Health Technology,10.1260861,United States,1.34831734,0.46946219,-11032000000,4.19,2.5536015,32102000000,14.4201,4.60E+11,-0.92969557,35246000000,68.13711897,63884000000,16667000000,Pharmaceuticals: Major,93758000000,46.68473777,3143000000,20878000000,22.26796647,26.33481943,5.89699578,6.07564,52.4228,4.7287699,4.73549948,1.11864856,11.69924239,30.41201448,20.66913836,661665.4905,2624497875,1.82E+11,60979000000,34751000000,1.08E+11,1.08E+11,93758000000,2629270000
T,AT&T Inc.,24,1.30856902,0.31,100892079,2421409896,1.71E+11,8.62605925,2.7698,203000,Communications,-17.01244813,United States,0.63325466,1.10720949,-15068000000,2.08,8.732158,51322000000,6.85874,3.77E+11,-0.33769523,1.33E+11,39.20018476,66195000000,15490000000,Major Telecommunications,1.69E+11,37.49152554,1.82E+11,20081000000,11.89181827,16.85379951,1.02265424,1.05614,17.0908,1.01619812,1.01549282,0.5927817,3.72773656,12.24432554,5.92388715,831842.3645,7134547104,5.52E+11,54199000000,2.04E+11,3.68E+11,3.68E+11,1.69E+11,7142890000
VZ,Verizon Communications Inc.,54.9082,2.30706167,1.2382,63097821,3464587775,2.30E+11,10.17898774,5.3211,118400,Communications,0.19744526,United States,0.72722646,2.13858173,-10445000000,2.535,4.728482,49686000000,7.55428,3.92E+11,-0.31675051,28603000000,45.73357383,61106000000,15020000000,Major Telecommunications,1.34E+11,44.29845047,1.74E+11,22065000000,16.51411165,25.05744202,2.77868736,2.6668,24.4816,1.68927919,1.68158039,0.66244699,6.46047225,29.49235458,9.64731447,1128488.176,4197165140,3.67E+11,34296000000,1.78E+11,2.83E+11,2.83E+11,1.34E+11,4197820000
BABA,Alibaba Group Holding Limited,101.23,-3.76461641,-3.96,58354191,5907194755,2.85E+11,28.41662623,3.7555,251462,Retail Trade,-56.0824295,China,1.64464431,0.12465363,0,0,,17115871470,28.8561,2.83E+11,0.62743607,42244188692,35.66635486,42086665739,14559494025,Internet Retail,1.06E+11,35.96662429,-62032839872,22169523047,7.83820285,8.44080825,1.99918758,2.07371,22.3959,2.20550716,2.73798966,1.64464431,3.86470363,6.86765153,6.11661885,420722.8106,2662285367,2.76E+11,1.06E+11,21909513835,92537604882,1.00E+11,1.06E+11,2668725000
BRK.A,Berkshire Hathaway Inc.,491458.93,3.2032276,15253.93,5150,2531013490,7.31E+11,8.1428021,59698,372000,Finance,32.7406358,United States,4.48717747,0.24294953,0,,,45739000000,14.4888,6.57E+11,1.21691288,73875000000,19.98015169,55164000000,14195000000,Multi-Line Insurance,2.76E+11,73.88769452,-21617000000,89795000000,32.5233435,12.68444805,1.4187932,1.31533,26.031,2.61538312,2.65892084,4.07477022,9.80020333,18.9168948,15.23409302,742188.172,619761.6719,9.59E+11,2.28E+11,1.25E+11,4.44E+11,4.44E+11,2.76E+11,1488924.667
CVS,CVS Health Corporation,105.36,1.64978292,1.71,14321623,1508926199,1.38E+11,17.51828491,6.0006,300000,Retail Trade,52.3203701,United States,0.88498238,1.00819835,-2625000000,2.05,2.1066744,19497000000,9.15124,1.99E+11,-0.42450555,79121000000,17.78157558,51872000000,13514000000,Drugstore Chains,2.92E+11,71.39877075,60409000000,7910000000,2.70907111,5.13216568,1.83891376,1.81655,10.4497,0.47783247,0.47540538,0.62306252,3.30281742,10.95082512,5.40714208,973116.6667,1306750706,2.40E+11,60008000000,75999000000,1.65E+11,1.65E+11,2.92E+11,1312510000
PEP,"PepsiCo, Inc.",163.415,-0.1984854,-0.325,13303634,2174013350,2.26E+11,29.98469053,5.5134,309000,Consumer Non-Durables,26.84545525,United States,0.82875667,2.6238623,-5815000000,4.2475,2.6136642,14140000000,19.0915,2.72E+11,-0.40918529,18381000000,53.5321505,42536000000,13201000000,Beverages: Non-Alcoholic,79468000000,77.25200509,36390000000,7618000000,9.5860073,14.38278596,14.18258745,14.636,200.531,2.87759909,2.87560125,0.6629672,8.22256402,51.65271045,14.01346529,257177.9935,1378751804,92377000000,21730000000,42378000000,76226000000,76226000000,79468000000,1383450000
PFE,"Pfizer, Inc.",47.83,1.89603749,0.89,86008595,4113791099,2.69E+11,12.38253466,3.9236,79000,Health Technology,39.85380117,United States,1.39891261,0.53438416,-8729000000,1.57,3.3542976,26328000000,13.2653,3.51E+11,-0.5325948,49208000000,57.53886932,46875000000,13160000000,Pharmaceuticals: Major,81288000000,65.14056884,10326000000,22147000000,27.17109865,25.50342983,3.47241685,4.29866,15.9441,3.37624523,3.34946856,1.18661386,13.19134359,31.5325515,20.37066852,1028962.025,5618277738,1.81E+11,59693000000,41395000000,1.04E+11,1.04E+11,81288000000,5623350000
HD,"Home Depot, Inc. (The)",326.28,3.30874204,10.45,13886092,4530754098,3.41E+11,21.10240179,15.5791,,Retail Trade,30.02829474,United States,1.01261632,-27.28125,-6985000000,6.6,2.3215322,25774000000,16.4289,4.26E+11,-0.39261628,7449000000,32.05012007,48446000000,11256000000,Home Improvement Chains,1.51E+11,65.09298503,43926000000,16433000000,10.871478,15.24243006,,,55.2421,2.25888917,2.29137559,0.24350887,23.07082137,2050.280724,38.78543275,,1043474572,71876000000,29055000000,46269000000,73572000000,73572000000,1.51E+11,1044240000
INTC,Intel Corporation,47.97,0.56603774,0.27,126202235,6053921213,1.95E+11,10.05845305,4.8949,121100,Electronic Technology,-17.76101492,United States,2.10174059,0.40439874,-5644000000,1.39,2.987518,33874000000,6.52149,2.20E+11,-0.33542977,26963000000,55.44518121,43606000000,11009000000,Semiconductors,79024000000,39.72860991,10163000000,19868000000,25.14172909,27.9434096,2.08511199,2.18922,52.2294,2.53242876,2.52933666,1.70934382,12.35967987,22.52237444,16.25293985,652551.6102,,1.68E+11,57718000000,38576000000,73015000000,73015000000,79024000000,4072000000
ABBV,AbbVie Inc.,150.215,1.65459836,2.445,19293916,2898235592,2.66E+11,23.1902259,6.4775,50000,Health Technology,42.18173213,United States,0.79354435,5.02558953,-9261000000,5.31,3.7708094,28227000000,10.8768,3.09E+11,-0.06767273,32379000000,69.35067708,39053000000,10634000000,Pharmaceuticals: Major,56197000000,83.4664814,67745000000,11468000000,20.39076819,35.07126715,17.16577129,15.5395,18.9022,4.7322003,4.72953877,0.70466557,7.71405683,80.45920517,13.34210465,1123940,1764803919,1.47E+11,27928000000,77575000000,1.31E+11,1.31E+11,56197000000,1768750000
PG,Procter & Gamble Company (The),154.92,-0.62223363,-0.97,18652115,2889585656,3.71E+11,27.18002192,5.854,101000,Consumer Non-Durables,26.8276709,United States,0.67175954,0.79417727,-8263000000,3.2419,2.2623057,21012000000,17.527,4.41E+11,-1.01353519,40315000000,49.27373446,39144000000,10289000000,Household/Personal Care,76118000000,63.80260941,24109000000,14306000000,18.52040947,23.26091951,8.21094422,8.9601,47.9378,4.99416075,5.25510116,0.49627896,12.01517008,31.27188871,21.08475315,753643.5644,2394790386,1.21E+11,25545000000,35653000000,72653000000,76523000000,76118000000,2397070000
MRK,"Merck & Company, Inc.",77.19,0.79655262,0.61,23758474,1833916608,1.95E+11,14.90851109,5.1583,68000,Health Technology,12.16884633,United States,1.26784517,0.90521996,-6610000000,2.64,3.5998435,17371000000,13.009,2.21E+11,-0.10446592,21264000000,72.32965375,35441000000,10111000000,Pharmaceuticals: Major,48907000000,50.16860182,26535000000,13049000000,25.37126747,28.10713151,5.07520128,5.07322,63.7536,3.85876846,3.97874456,1.01847353,12.95505926,40.24818507,20.92551049,719220.5882,2523882795,1.06E+11,30266000000,34631000000,67437000000,67437000000,48907000000,2527730000
IBM,International Business Machines Corporation,126.1928,3.00612195,3.6828,12989947,1639237784,1.13E+11,19.52426741,6.405,307600,Technology Services,9.99614486,United States,0.8460097,2.90271636,-5869000000,6.55,5.2963023,15554000000,12.2884,1.69E+11,0.13060158,55643000000,49.1135378,30810000000,10032000000,Information Technology Services,57351000000,49.60357135,47583000000,5743000000,8.29530846,12.90914999,5.88512554,6.35077,24.8539,1.58632907,1.95373811,0.79696005,4.07817427,29.73315105,8.11016118,186446.684,895555241.6,1.32E+11,28442000000,55140000000,1.13E+11,1.13E+11,57351000000,896800000
CVX,Chevron Corporation,155.03,7.65972222,11.03,79078384,12259521872,3.02E+11,18.95171702,8.1523,42595,Energy Minerals,48.35406699,United States,1.2593035,0.24919251,-10179000000,5.31,3.6849618,34284000000,7.33713,2.55E+11,0.70138889,4385000000,18.04134595,28197000000,8787000000,Integrated Oil,1.56E+11,75.91110268,28864000000,15625000000,9.99737669,10.65640376,2.13897124,1.62844,19.7469,1.89562879,1.89357545,1.02396327,6.51958483,11.54179978,8.93474917,3669233.478,1947109854,2.40E+11,33738000000,34872000000,99595000000,99595000000,1.56E+11,1947550000
AXP,American Express Company,179.6,-7.67965457,-14.94,14548656,2612938618,1.36E+11,18.04272777,10.0062,64000,Finance,25.87608635,United States,,1.84506471,-1448000000,1.72,0.95391273,11790000000,12.575,1.45E+11,0.0668243,3804000000,65.29555917,28510000000,8219000000,Finance/Rental/Leasing,43663000000,74.25027594,18890000000,8004000000,18.31069784,26.37015322,6.18730681,5.61391,11.1812,3.17564963,3.26237089,,4.20883619,35.40665619,15.86687307,682234.375,758414918.5,1.89E+11,,40918000000,1.66E+11,1.66E+11,43663000000,759355000
CSCO,"Cisco Systems, Inc.",56.13,0.64550834,0.36,46164618,2591220008,2.33E+11,20.09016423,2.8095,79500,Technology Services,25.96499102,United States,1.38143932,0.31927284,-6163000000,1.46,2.7070346,16063000000,14.3207,2.25E+11,-0.43033889,38679000000,63.09724728,31679000000,8074000000,Information Technology Services,49818000000,60.40499422,-8514000000,10591000000,22.93933927,27.23428195,5.73675693,5.84457,27.2761,4.58031679,4.77440684,1.30198727,12.45635011,30.08255212,23.98799079,626641.5094,4207344337,94262000000,35800000000,12610000000,56222000000,54766000000,49818000000,4217610000
ORCL,Oracle Corporation,78.48,3.30393576,2.51,21840996,1714081366,13890413719,22.73400517,3.5647,132000,Technology Services,19.61591221,United States,1.64599333,-8.12083247,-3063000000,1.04,1.6351559,18967000000,14.78,3.00E+11,0.01316309,43842000000,76.83574879,31245000000,7902000000,Packaged Software,40479000000,72.50396144,55593000000,13746000000,24.79227053,38.57004831,42.05414175,,22.2614,5.09387246,5.84407125,1.64599333,9.4637893,351.0188679,15.2307464,306659.0909,1525139393,1.07E+11,31078000000,78431000000,1.25E+11,1.17E+11,40479000000,2670450000
TGT,Target Corporation,224.255,12.25659508,24.485,25085386,5625523237,1.07E+11,15.9861818,14.203,,Retail Trade,32.05452832,United States,0.9919989,1.26397443,-1548000000,3.38,1.6007115,11802000000,9.92881,1.15E+11,13.54557741,0,27.27607188,28698000000,7630000000,Specialty Stores,1.06E+11,59.99706262,10302000000,6946000000,6.55252111,8.72128673,8.26300229,7.99737,30.3555,1.01964002,1.04531135,0.35273831,13.2230461,50.94803242,24.34502217,,477756101,53811000000,21573000000,16213000000,40984000000,40984000000,1.06E+11,479124000
TMUS,"T-Mobile US, Inc.",125.13,1.55831507,1.92,11156087,1395961166,1.56E+11,52.06632124,2.4256,75000,Communications,5.497007,United States,0.88901655,1.57473011,0,0,,26457000000,8.27637,2.48E+11,-1.05510916,12188000000,36.40005991,29163000000,7466000000,Wireless Telecommunications,80118000000,52.37498515,1.02E+11,3024000000,3.77443271,12.57395342,2.27075515,2.09667,20.9423,1.96649021,1.96724395,0.77977786,1.37704918,4.49846035,1.8281182,1068240,593657610.8,2.23E+11,20891000000,1.09E+11,1.54E+11,1.54E+11,80118000000,1249290000
BMY,Bristol-Myers Squibb Company,69.155,0.70627639,0.485,33895660,2344054367,1.54E+11,22.07438282,3.1515,32200,Health Technology,16.54027637,United States,1.5210353,1.2663445,-4396000000,2.01,3.1372552,18480000000,8.23823,1.67E+11,-0.80093199,20502000000,57.69321979,26761000000,7193000000,Pharmaceuticals: Major,46385000000,70.00380121,28235000000,6994000000,15.07815026,16.64546728,4.16785215,3.77437,12.9153,3.29369732,3.33228953,1.42523322,6.14060888,18.96215161,8.55974935,1440527.95,2213714656,1.09E+11,33262000000,45596000000,73308000000,73308000000,46385000000,2219650000
WBA,"Walgreens Boots Alliance, Inc.",46.68,1.28010414,0.59,15121675,705879789,40297537016,6.22462605,7.43,315000,Retail Trade,-0.38412292,United States,0.8309404,1.17529821,-1617000000,1.88,4.138678,6580000000,8.99037,80918500000,-0.39054025,21520000000,19.90783274,26144000000,7075000000,Drugstore Chains,1.33E+11,46.17621755,34947000000,2220000000,4.41869425,3.28808938,1.70532438,1.47356,17.1824,0.29665219,0.30174826,0.44336728,6.42416278,25.7501835,10.39613021,420663.4921,713670415.5,96507000000,20314000000,39215000000,57145000000,63141000000,1.33E+11,863272000
LOW,"Lowe's Companies, Inc.",227.26,2.80466842,6.2,10435526,2371577639,1.52E+11,19.09924659,12.009,,Retail Trade,47.79215712,United States,1.01993085,-6.1013289,-1984000000,3,1.3994577,14301000000,12.9438,1.87E+11,0.14475708,0,31.57850991,30394000000,6590000000,Home Improvement Chains,96250000000,69.86556339,27980000000,8409000000,8.73775312,12.56428638,,,26.1724,1.60598198,1.66060613,0.12482205,18.09964489,655.2663196,34.28524837,,669614080,44640000000,20060000000,29384000000,49456000000,49456000000,96250000000,670000000
COST,Costco Wholesale Corporation,533.815,2.80500722,14.565,7264334,3877810454,2.37E+11,45.42912454,11.654,288000,Retail Trade,67.31914493,United States,1.01523604,0.53236842,-5748000000,12.98,0.5984849,9432000000,21.0323,2.35E+11,0.04044295,0,12.75629789,25245000000,6411000000,Department Stores,1.96E+11,63.7918965,-3361000000,5007000000,2.54328258,3.6083591,13.28191622,12.8203,,1.15593012,1.19744748,0.50710815,8.30612868,30.99960988,19.58590876,680309.0278,442293377.2,64149000000,33850000000,10115000000,41190000000,45149000000,1.96E+11,443433000
QCOM,QUALCOMM Incorporated,166.3835,-3.25978255,-5.6065,23172515,3855524150,1.88E+11,19.40206115,8.8529,45000,Electronic Technology,30.19053208,United States,1.6476819,1.38974676,-3008000000,2.66,1.6070901,12751000000,13.821,2.13E+11,-0.59887203,7264000000,58.16405816,19304000000,6402000000,Telecommunications Equipment,33566000000,45.68487674,4440000000,9043000000,27.71117771,30.87745588,19.13631615,18.1402,27.2745,5.36362249,5.79360812,1.33308889,24.87204075,106.7279431,41.91219676,745911.1111,1125295976,42820000000,20222000000,15750000000,31290000000,31487000000,33566000000,1127000000
UPS,"United Parcel Service, Inc.",213.38,1.40671039,2.96,7630082,1628106897,1.85E+11,14.39698253,14.7706,534000,Transportation,33.82251489,United States,1.41920428,1.78905319,-3437000000,4.08,2.8752482,16060000000,12.4239,2.03E+11,-0.451478,3692000000,21.299535,17432000000,6310000000,Air Freight/Couriers,97204000000,62.99265235,14935000000,12890000000,13.26077116,13.484013,12.90747102,13.0833,25.5139,1.91153101,1.91002304,1.37839376,19.55801021,172.9040912,41.3817458,182029.9625,728517799.3,69405000000,24934000000,25528000000,55136000000,55136000000,97204000000,867158000
KR,Kroger Company (The),54.54,16.53846154,7.74,42869739,2338115565,40100837058,37.13984804,1.3472,465000,Retail Trade,59.98826635,United States,0.7965234,2.18164577,-534000000,0.7,1.7014382,6057000000,5.85597,49074600000,2.82051282,3076000000,20.08083967,28154000000,6242000000,Food Retail,1.32E+11,78.48681047,17278000000,2556000000,0.73906341,1.91994217,3.90794135,3.28103,6.93552,0.27383878,0.29100794,0.34885105,2.03878161,10.23023125,3.51504946,284941.9355,729298955.9,49829000000,13380000000,20706000000,42099000000,40338000000,1.32E+11,735256000
ABT,Abbott Laboratories,121.41,0.65494943,0.79,16284084,1977050638,2.15E+11,30.51027909,3.9792,113000,Health Technology,4.65477114,United States,1.84959939,0.53439374,-3202000000,1.82,1.5619807,12738000000,20.3962,2.60E+11,-0.25700547,23231000000,53.89204875,23214000000,6209000000,Medical Specialties,43075000000,48.78830771,9002000000,7042000000,16.34822983,21.35809634,5.93053353,6.93472,46.2328,4.97925757,4.99881695,1.45608546,9.53270522,20.53480302,13.25340887,381194.6903,1752939475,75196000000,24239000000,19251000000,39172000000,39172000000,43075000000,1768290000
GE,General Electric Company,92.8999,-2.73280285,-2.6101,13780945,1280248412,1.02E+11,,-1.1493,168000,Producer Manufacturing,-14.42529477,United States,1.27707736,0.91075192,-575000000,0.32,0.33984706,7439000000,15.0438,1.15E+11,-0.57585593,26182000000,27.73158023,20637000000,6157000000,Industrial Machinery,74174000000,57.48782711,9966000000,-2674000000,-4.50201139,5.98018305,2.56759642,2.57605,68.8308,1.3969308,1.39385337,0.97205166,-1.46940898,-8.79228072,-3.64130672,441511.9048,1092688902,1.99E+11,66348000000,38033000000,1.57E+11,1.57E+11,74174000000,1099320000
MRNA,"Moderna, Inc.",140.96,-8.22916667,-12.64,13625882,1920704327,56788976318,5.23138975,30.2377,2700,Health Technology,6.5457294,United States,1.76062664,0.06475786,0,0,,13459000000,7.38696,99654400000,-0.72916667,0,84.51798718,15564000000,6112000000,Biotechnology,18413000000,63.43372715,-9811000000,12202000000,66.30801,71.87805673,4.21262443,7.23605,8.21874,3.46308336,3.4610145,1.60276074,75.77528857,146.075974,138.5121578,6819629.63,347813152.8,24869000000,16071000000,916000000,10724000000,10724000000,18413000000,402873000
DIS,Walt Disney Company (The),145.36,-2.08810454,-3.1,21168011,3076982079,2.65E+11,87.43694736,1.6952,190000,Consumer Services,-22.69318726,United States,1.05829477,0.52254496,0,0,,10786000000,42.2671,3.37E+11,-0.40414927,78052000000,27.52870571,17258000000,5995000000,Cable/Satellite TV,67387000000,41.00946145,39685000000,1995000000,4.31202214,7.81562577,3.02490175,3.13868,161.844,3.69046505,3.99687655,1.01351666,1.55331084,3.61859315,2.29572297,354668.4211,1817675118,2.03E+11,31788000000,54132000000,1.01E+11,99718000000,67387000000,1820630000
LLY,Eli Lilly and Company,258.01,3.22464493,8.06,6628189,1710139044,2.46E+11,41.47006037,6.1479,35000,Health Technology,28.65762441,United States,1.22585317,1.84435487,-3086800000,3.4,1.5422748,9095700000,29.132,2.64E+11,-0.95619124,3892000000,74.17650715,21005600000,5949700000,Pharmaceuticals: Major,28318400000,62.76171616,12976100000,5581700000,19.71050624,26.65440138,26.99461956,29.3365,87.9245,8.16365311,8.18273489,0.9676935,11.69688314,76.35286715,23.97956773,809097.1429,792018430.2,48806000000,18452400000,16884700000,39651200000,39651200000,28318400000,952347000
BNTX,BioNTech SE,141.9201,-5.89476825,-8.8899,2689954,381758540.7,35637865797,4.24211982,36.8998,1941,Health Technology,49.15407252,Germany,2.75404887,0.03291052,0,0,,12314107300,,68536600000,-0.35806644,0,82.76897227,482564852.7,5747339679,Biotechnology,549838163.3,65.47971298,-2440748700,17325331.27,54.34051375,74.38966245,21.14449337,6.55739,,2.32199045,66.42144014,2.67380574,98.2878888,159.8959697,152.8416522,283275.7153,240932106.7,16494871770,15648142900,332270965,1158425328,6398678845,549838163.3,242516955
DELL,Dell Technologies Inc.,52.74,3.49293564,1.78,14021923,739516219,40287289656,7.58991787,7.2804,,Electronic Technology,25.73611294,United States,0.80075878,-17.05949367,0,0,2.4626865,10686000000,7.26279,63136400000,-1.84458399,19770000000,26.50237463,21926000000,5626000000,Computer Processing Hardware,1.01E+11,87.23018592,17477000000,5563000000,5.17276841,5.73557459,,,5.92276,0.40589357,0.41896104,0.69570561,5.1213936,874.0916272,16.8160958,,281784977,92659000000,44957000000,26954000000,94239000000,94239000000,1.01E+11,763884477
CHTR,"Charter Communications, Inc.",564.39,-6.21323407,-37.39,4979672,2810477080,97493428161,23.33476369,25.5594,93700,Consumer Services,-7.11770127,United States,0.28624177,5.12293457,0,0,,20200000000,10.9368,2.14E+11,-1.79301406,29562000000,39.87074804,20606000000,5582000000,Cable/Satellite TV,51682000000,41.44243427,92411000000,4654000000,9.00506946,21.00344414,7.02017925,8.01581,14.6279,1.99327925,2.13276562,0.28624177,3.21529858,24.58856162,4.42279822,551568.8367,121321877.5,1.43E+11,3566000000,93012000000,1.25E+11,1.25E+11,51682000000,172741000
